Date,Symbol,Close,High,Low,Open,Volume,holiday,pre_holiday,post_holiday,Return,weekend
2021-01-10,GOOGL,,,,,,1,0,1,,1
2021-01-11,GOOGL,87.29097747802734,88.6871071583101,87.08471786232288,88.32129723208645,34796000.0,0,0,1,-0.023105753423534714,0
2021-01-12,GOOGL,86.35360717773438,87.86802326248193,85.30738385866071,86.74774304931569,29528000.0,0,0,0,-0.010738455764559673,0
2021-01-13,GOOGL,86.84168243408203,87.29595870926626,85.85111746902506,85.85111746902506,23432000.0,0,0,0,0.0056520540635098815,0
2021-01-14,GOOGL,86.03004455566406,87.85063066888812,85.78898994155325,86.9221931049846,29212000.0,0,0,0,-0.009346178651410297,0
2021-01-15,GOOGL,85.86602783203125,86.86006623293285,85.07527616922907,85.93561021673791,31444000.0,0,1,0,-0.0019065051573544656,0
2021-01-16,GOOGL,,,,,,1,1,0,,1
2021-01-17,GOOGL,,,,,,1,1,1,,1
2021-01-18,GOOGL,,,,,,1,0,1,,0
2021-01-19,GOOGL,88.69158935546875,89.65431379811183,86.1249814473934,86.6304491305438,41660000.0,0,0,1,0.03290662902172192,0
2021-01-20,GOOGL,93.44308471679688,94.41972556300965,90.43313675293656,90.77408662421261,64152000.0,0,0,0,0.0535732350255278,0
2021-01-21,GOOGL,93.64588165283203,96.02809463039536,93.41029500615272,94.11805602259298,58634000.0,0,0,0,0.002170272274826912,0
2021-01-22,GOOGL,94.06385803222656,94.65183104065733,93.26564385288275,94.00918562038355,32744000.0,0,1,0,0.004463371714989783,0
2021-01-23,GOOGL,,,,,,1,1,0,,1
2021-01-24,GOOGL,,,,,,1,0,1,,1
2021-01-25,GOOGL,94.14934539794922,95.51814270078405,92.40381732769998,95.06684692269593,50586000.0,0,0,1,0.0009088226605946659,0
2021-01-26,GOOGL,94.82878112792969,95.21645551264548,93.2472701569076,93.737327345991,31462000.0,0,0,0,0.00721657412601906,0
2021-01-27,GOOGL,90.4048080444336,93.46296709007444,89.32826428623379,93.18662453904426,82512000.0,0,0,0,-0.04665221919838758,0
